id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
20168_a6b4f666-17a0-45df-a187-7d859a17fa47, 2868.00000, 67488.25000, 0.00000, 1.91958, 5114.00000, 76839.00000, 0.69445, 3.14931, 5890.50000, 55809.25000, 0.00000, 2.76257, -0.00095, -0.00080, -0.00357, 1.01401, 0.99561, 0.97438, 0.00000, -0.04076, 0.00000, 0.98809, 1.02918, 1.01695,Inactive
20168_cebd82f3-c085-4c63-8a56-e02d94620ad6, 2866.00000, 66597.50000, 0.00000, 2.02381, 5054.00000, 75519.00000, 0.63918, 3.30357, 5870.00000, 56708.00000, 0.00000, 2.82777, -0.00098, -0.00163, -0.00397, 1.00006, 0.97812, 0.99232, 0.00000, -0.09603, 0.00000, 1.04174, 1.07960, 1.04095,Inactive
20168_ee904078-272c-45c3-98a2-29b42ee2d72d, 2780.00000, 63622.00000, 0.00000, 2.15713, 5133.00000, 76336.75000, 0.58200, 3.50970, 6026.00000, 54666.50000, 0.00000, 3.03285, -0.00233, -0.00053, -0.00093, 0.95472, 0.98837, 0.94943, 0.00000, -0.15321, 0.00000, 1.11037, 1.14696, 1.11644,Inactive
20168_c6058737-3afa-4618-a91f-0295f35fa58e, 2852.00000, 58520.25000, 0.00000, 2.18184, 5178.50000, 76020.00000, 0.48460, 3.89555, 6026.00000, 51294.50000, 0.00000, 3.39358, -0.00120, 0.00010, -0.00093, 0.87354, 0.98334, 0.88361, 0.00000, -0.25061, 0.00000, 1.12309, 1.27306, 1.24924,Inactive
20168_02d163e8-f738-44fa-90ee-d696905fb867, 3042.50000, 52043.00000, 0.00000, 2.61802, 5148.00000, 72251.25000, 0.75858, 4.38067, 5869.00000, 44401.25000, 0.00000, 4.20045, 0.00179, -0.00033, -0.00399, 0.76891, 0.93145, 0.75212, 0.00000, 0.02337, 0.00000, 1.34761, 1.43159, 1.54626,Inactive
20484_b76e7968-6c31-4815-8512-3ea7d3fad42d, 1974.00000, 66143.75000, 0.00000, 2.05526, 4339.00000, 71174.00000, 1.62222, 3.19370, 3959.50000, 52362.50000, 0.58110, 2.62657, 0.00060, -0.00201, -0.00574, 1.00033, 0.94055, 0.94094, 0.00000, 0.13274, 0.58110, 1.05235, 1.01514, 0.96012,Inactive
20484_b9b6933e-dc79-4c43-a420-8c5cf3556e66, 1842.00000, 68349.00000, 0.15395, 2.14473, 4136.50000, 60687.00000, 1.92499, 3.52172, 3798.00000, 48962.25000, 0.69151, 2.81470, -0.00146, -0.00486, -0.00888, 1.03677, 0.79582, 0.87798, 0.15395, 0.43550, 0.69151, 1.09816, 1.11940, 1.02888,Inactive
20484_07bf205f-5792-4ee3-9d73-1592e46784d9, 2137.50000, 69065.00000, 0.00000, 2.53846, 3998.50000, 49668.50000, 3.09794, 3.83150, 3596.00000, 43468.75000, 1.51660, 3.09542, 0.00315, -0.00680, -0.01281, 1.04332, 0.64270, 0.77512, 0.00000, 1.60845, 1.51660, 1.29976, 1.21787, 1.13150,Inactive
20484_e1ee551c-efa3-4705-bd75-4a8adbd3b020, 2106.00000, 65553.25000, 0.00000, 3.13934, 3942.50000, 37750.75000, 4.99363, 4.52175, 3494.00000, 39149.50000, 3.33059, 3.46879, 0.00266, -0.00759, -0.01479, 0.98907, 0.47578, 0.69313, 0.00000, 3.50414, 3.33059, 1.60743, 1.43727, 1.26798,Inactive
20484_aa8dac88-30a5-4f09-88b1-d9d9314ad220, 2026.50000, 60091.50000, 0.00000, 3.64623, 3842.00000, 25970.00000, 6.68300, 5.72997, 3466.00000, 31122.00000, 4.56666, 4.26595, 0.00142, -0.00901, -0.01534, 0.90517, 0.31140, 0.53763, 0.00000, 5.19351, 4.56666, 1.86697, 1.82131, 1.55937,Active
20414_b7dbe06a-9927-40ff-9978-5f32c2fee39f, 1958.00000, 67264.50000, 0.64397, 1.92929, 4453.50000, 72982.00000, 1.47762, 3.18650, 4204.00000, 55839.50000, 0.00000, 2.74912, 0.00035, -0.00040, -0.00099, 1.01805, 0.96439, 1.00378, 0.64397, -0.01187, 0.00000, 0.98785, 1.01285, 1.00491,Inactive
20414_dc7e224e-e50a-4283-8dfe-1b32c09a8d57, 2050.00000, 74996.50000, 0.67682, 1.92800, 4431.00000, 69220.00000, 1.45177, 3.27907, 4196.00000, 59960.75000, 0.00000, 2.73625, 0.00178, -0.00072, -0.00115, 1.13715, 0.91176, 1.08405, 0.67682, -0.03772, 0.00000, 0.98719, 1.04227, 1.00021,Inactive
20414_c638ab2f-2cf6-4926-8644-42266bca5c27, 1872.00000, 84047.75000, 0.00000, 2.15879, 4398.00000, 64489.00000, 1.46407, 3.67519, 4134.00000, 68473.50000, 0.42934, 2.70289, -0.00099, -0.00118, -0.00235, 1.28102, 0.84565, 1.25074, 0.00000, -0.02542, 0.42934, 1.10536, 1.16818, 0.98801,Inactive
20414_6c7523d1-d720-42a6-8764-155b3f3660ed, 2063.50000, 98134.50000, 1.62239, 2.41002, 4342.50000, 55792.00000, 2.28334, 4.29346, 4098.00000, 82499.25000, 1.25033, 2.93580, 0.00200, -0.00196, -0.00305, 1.49763, 0.72404, 1.52410, 1.62239, 0.79385, 1.25033, 1.23400, 1.36470, 1.07315,Inactive
20414_b9ba556b-9ecf-4288-815d-c79ad8863342, 1907.00000, 103875.00000, 1.36184, 3.18786, 4306.50000, 50438.00000, 3.40926, 5.58564, 4061.50000, 99262.50000, 3.03259, 3.42316, -0.00044, -0.00247, -0.00376, 1.58956, 0.64920, 1.85068, 1.36184, 1.91978, 3.03259, 1.63227, 1.77543, 1.25130,Inactive
21463_7b858cd6-7a79-46d8-bee6-2df79f455dd7, 1687.00000, 77005.00000, 0.00000, 2.07647, 4266.50000, 70255.50000, 1.61385, 3.35987, 3826.00000, 54911.00000, 0.00000, 2.83454, -0.00017, 0.00047, 0.00125, 1.12469, 0.91917, 0.94647, -0.42525, 0.00142, 0.00000, 1.05472, 1.05323, 1.03939,Inactive
21463_53183734-b91d-4511-87a8-9faa4ef309fd, 1781.00000, 89499.50000, 0.00000, 2.23258, 4296.00000, 68464.00000, 1.64801, 3.43419, 3800.00000, 58831.50000, 0.00000, 2.94417, 0.00123, 0.00088, 0.00077, 1.30986, 0.89380, 1.01958, -0.42525, 0.03558, 0.00000, 1.13402, 1.07653, 1.07959,Inactive
21463_7c113d50-60b8-45c2-a3e7-d62b8117099b, 1590.00000, 104354.50000, 0.00000, 2.27656, 4182.00000, 65832.50000, 1.62865, 3.63099, 3831.50000, 63828.00000, 0.00000, 3.05746, -0.00162, -0.00071, 0.00135, 1.53453, 0.85873, 1.11157, -0.42525, 0.01622, 0.00000, 1.15635, 1.13822, 1.12113,Inactive
21463_a333a70a-cacb-42b2-aa35-7bb424d6c8a3, 1653.00000, 143317.50000, 0.00000, 2.32463, 4157.00000, 61681.00000, 1.25438, 4.01867, 3767.00000, 72470.00000, 0.00000, 3.24845, -0.00068, -0.00106, 0.00016, 2.11541, 0.80126, 1.27288, -0.42525, -0.35805, 0.00000, 1.18077, 1.25975, 1.19116,Inactive
21463_9785039d-9f14-4cc1-a474-951d446a902f, 1755.50000, 180781.00000, 0.00000, 2.56631, 4091.50000, 54548.00000, 1.14324, 4.65750, 3645.00000, 72145.00000, 0.00000, 3.52940, 0.00085, -0.00197, -0.00210, 2.67330, 0.70281, 1.26912, -0.42525, -0.46918, 0.00000, 1.30353, 1.46001, 1.29418,Inactive
21438_91e770ab-398a-4c26-be67-b05a4c61b061, 1924.50000, 70093.00000, 0.75315, 1.98733, 4424.50000, 77491.00000, 1.63630, 3.30351, 3895.00000, 56038.00000, 0.22678, 2.68005, 0.00337, 0.00267, 0.00253, 1.01793, 1.01775, 0.96607, 0.32790, 0.02387, 0.22678, 1.00944, 1.03557, 0.98274,Inactive
21438_909da0fa-d8d6-4390-a30c-c56caf982c8a, 1947.00000, 71473.50000, 0.52917, 2.09175, 4962.50000, 74607.75000, 1.79438, 3.39595, 4117.50000, 55528.00000, 0.59880, 2.72736, 0.00371, 0.01016, 0.00665, 1.03820, 0.97009, 0.95250, 0.10392, 0.18195, 0.59880, 1.06248, 1.06454, 1.00009,Inactive
21438_458c7d10-0d88-4fd8-b326-be878c17b862, 2286.50000, 72486.00000, 1.06951, 2.01720, 5779.50000, 72331.00000, 2.11085, 3.59460, 4590.00000, 54693.00000, 0.64849, 2.85567, 0.00878, 0.02154, 0.01541, 1.04825, 0.92700, 0.92827, 0.64426, 0.49843, 0.64849, 1.02461, 1.12681, 1.04713,Inactive
21438_5fe34f2f-8528-41a6-90dc-33322c6c29c1, 2532.50000, 72832.50000, 0.54689, 2.22844, 7424.00000, 71466.00000, 2.77227, 3.96714, 5529.50000, 52803.00000, 0.78290, 3.08655, 0.01245, 0.04445, 0.03281, 1.04976, 0.89205, 0.87585, 0.12164, 1.15984, 0.78290, 1.13191, 1.24360, 1.13180,Inactive
21438_84190ba3-30b5-43df-9dfa-d0df531c1bf0, 2989.00000, 70664.00000, 1.09168, 2.25772, 10393.50000, 67981.50000, 3.64094, 4.52683, 6724.50000, 49293.25000, 0.91841, 3.45882, 0.01927, 0.08581, 0.05495, 1.01056, 0.80215, 0.78868, 0.66643, 2.02851, 0.91841, 1.14679, 1.41904, 1.26830,Autofluorescent
510_7af2b149-333f-468c-bc48-abe4846d92af, 2120.00000, 57987.50000, 0.00000, 1.74641, 3820.00000, 48532.00000, 0.80933, 2.70049, 4881.00000, 53428.00000, 0.00000, 2.34855, -0.00055, 0.00060, 0.00257, 0.99016, 0.62144, 0.96133, 0.00000, 0.22940, 0.00000, 0.98835, 1.01881, 0.98364,Inactive
516_9e3c8998-b804-40b6-956f-3879d1569fb2, 1972.00000, 64496.50000, 0.71261, 1.55757, 3772.00000, 63476.00000, 0.47772, 2.95523, 4653.00000, 60057.00000, 0.00000, 2.35881, -0.00317, -0.00007, -0.00194, 1.10815, 0.82981, 1.09711, 0.71261, -0.10222, 0.00000, 0.88148, 1.11491, 0.98794,Inactive
978_f1ed64ae-1a7c-44e5-afa6-6ebc13e7e5eb, 2252.00000, 82053.00000, 0.65389, 1.62985, 3805.00000, 17653.00000, 1.48919, 5.82167, 4837.00000, 69256.00000, 0.00000, 2.41334, 0.00179, 0.00039, 0.00170, 1.41435, 0.19247, 1.27562, 0.65389, 0.90926, 0.00000, 0.92238, 2.19633, 1.01078,Inactive
17412_58fa526f-10bc-401e-9c0f-ab8478cc17f0, 2187.00000, 60543.00000, 0.83641, 1.54546, 3821.00000, 75711.00000, 0.71689, 2.61858, 4651.00000, 54329.00000, 0.00000, 2.38230, 0.00064, 0.00061, -0.00198, 1.03427, 0.99918, 0.98372, 0.83641, 0.13696, 0.00000, 0.87462, 0.98790, 0.99778,Inactive
17414_b0ca3413-13f1-4f2d-a233-1d165e08094b, 1932.00000, 58211.00000, 0.00000, 1.80775, 3843.00000, 71888.00000, 0.65435, 2.71374, 4740.00000, 52728.00000, 0.58316, 2.19698, -0.00388, 0.00092, -0.00022, 0.99746, 0.94574, 0.95026, 0.00000, 0.07442, 0.58316, 1.02306, 1.02381, 0.92016,Inactive
20007_ccaf0b6f-74fc-4bc5-b408-10ab811ad1cc, 2002.00000, 60934.00000, 0.00000, 1.80663, 3619.00000, 74858.00000, 0.47021, 2.64921, 4469.00000, 55999.50000, 0.00000, 2.35630, -0.00264, -0.00220, -0.00558, 1.04448, 0.99013, 1.02041, 0.00000, -0.10972, 0.00000, 1.02243, 0.99946, 0.98689,Inactive
20013_65a7352c-b54f-4af9-bf52-ed930f20d698, 1981.00000, 58142.50000, 0.85422, 1.51046, 3731.00000, 73793.00000, 0.59430, 2.66249, 4474.00000, 52649.00000, 0.00000, 2.36517, -0.00301, -0.00064, -0.00549, 0.99537, 0.97377, 0.95396, 0.85422, 0.01437, 0.00000, 0.85482, 1.00447, 0.99060,Inactive
20023_498b713f-9593-4942-b080-50e46f48d566, 2099.00000, 62539.00000, 0.00000, 1.90831, 3660.00000, 73399.00000, 0.45729, 2.69234, 4582.00000, 55779.00000, 0.00000, 2.39591, -0.00092, -0.00163, -0.00335, 1.07120, 0.96928, 1.01380, 0.00000, -0.12265, 0.00000, 1.07997, 1.01573, 1.00348,Inactive
20035_64cc920e-8836-481a-bbd1-187d49aee423, 2040.00000, 12424.00000, 0.00000, 3.78183, 3608.00000, 7534.00000, 0.53775, 7.78427, 4329.00000, 9841.00000, 0.00000, 5.42872, -0.00197, -0.00235, -0.00836, 0.18404, 0.05457, 0.10915, 0.00000, -0.04219, 0.00000, 2.14025, 2.93675, 2.27370,Definitely Toxic
20036_e9271d0a-e091-4e8b-a7ec-8f006577cf48, 2215.00000, 56624.00000, 0.85492, 1.64722, 3713.00000, 70496.00000, 0.55901, 2.70268, 4553.00000, 52527.00000, 0.54592, 2.16424, 0.00113, -0.00089, -0.00392, 0.96431, 0.92820, 0.94998, 0.85492, -0.02093, 0.54592, 0.93221, 1.01963, 0.90645,Inactive
20038_7d782b93-cb21-4054-90ae-6bc54c1e3510, 2166.00000, 50265.00000, 0.70106, 1.65579, 3691.00000, 72416.00000, 0.65230, 2.61723, 4557.00000, 48131.00000, 0.00000, 2.37987, 0.00027, -0.00120, -0.00384, 0.85248, 0.95519, 0.86285, 0.70106, 0.07236, 0.00000, 0.93706, 0.98740, 0.99676,Inactive
20039_99edf894-bd3c-46fd-a800-8a5bcc360ca0, 2048.00000, 102648.00000, 0.00000, 1.87022, 34952.00000, 93610.00000, 5.03988, 6.82062, 8340.00000, 87082.00000, 0.92766, 2.83350, -0.00183, 0.43329, 0.07107, 1.78298, 0.81527, 1.55925, 0.00000, 4.45995, 0.92766, 1.05842, 2.57320, 1.18675,Autofluorescent
20041_222a9e2d-7b49-4932-b6fa-33815c97c3a4, 1895.00000, 58894.00000, 0.57632, 1.64310, 3498.00000, 72497.00000, 0.56252, 2.63278, 4238.00000, 54562.00000, 0.00000, 2.33408, -0.00454, -0.00388, -0.01016, 1.01022, 0.95900, 0.99651, 0.57632, -0.01742, 0.00000, 0.92988, 0.99326, 0.97758,Inactive
20051_909a7f85-a429-44f6-8f6b-4e9519cc41fb, 2365.00000, 60751.00000, 0.83272, 1.62587, 3744.00000, 80015.00000, 0.55878, 2.58447, 4633.00000, 55473.00000, 0.00000, 2.34585, 0.00379, -0.00046, -0.00234, 1.03480, 1.06007, 1.00673, 0.83272, -0.02116, 0.00000, 0.92013, 0.97504, 0.98251,Inactive
20053_47b47b49-b7ce-4f02-9cf3-db2010e39394, 2101.00000, 62343.00000, 0.00000, 1.83394, 3744.00000, 79194.00000, 0.71147, 2.55933, 4523.00000, 59651.00000, 0.00000, 2.31615, -0.00089, -0.00046, -0.00451, 1.06769, 1.04866, 1.09164, 0.00000, 0.13154, 0.00000, 1.03788, 0.96555, 0.97007,Inactive
20054_6b236f43-e697-4854-93f3-defa6756b181, 2121.00000, 61296.00000, 0.00000, 1.78473, 3672.00000, 77800.00000, 0.56087, 2.62529, 4592.00000, 55012.00000, 0.00000, 2.31966, -0.00053, -0.00146, -0.00315, 1.04878, 1.03029, 0.99842, 0.00000, -0.01907, 0.00000, 1.01003, 0.99044, 0.97154,Inactive
20060_aecd89b2-1029-48da-a00f-59c899303cfd, 1734.00000, 2100.00000, 0.00000, 4.59139, 3674.00000, 4240.00000, -11.41360, 216.41900, 4213.00000, 3258.00000, 0.00000, 10000000.00000, -0.00739, -0.00143, -0.01065, 0.00649, 0.00787, -0.01891, 0.00000, -11.99353, 0.00000, 2.59841, 81.64783, 4188288.70712,Definitely Toxic
