TID	CS
1	49
2	35
3	355
4	25
6	137
7	19
8	613
9	954
10	5
11	963
12	289
13	94
14	41
15	541
16	14
19	829
21	70
23	128
24	78
25	485
27	11
28	165
30	10
32	2
33	2
35	597
36	484
37	10
38	45
39	5
41	18
42	337
43	369
47	496
48	214
49	13
50	251
51	959
52	399
54	71
55	379
56	534
57	89
59	81
61	583
62	170
63	61
64	68
65	457
68	166
69	177
70	26
71	109
72	1249
73	25
74	56
76	119
77	13
78	2
79	171
80	131
84	33
86	255
87	719
88	408
89	23
90	555
91	3
93	723
95	14
96	397
99	26
100	561
102	176
103	372
104	236
105	371
106	341
107	839
108	879
109	21
110	40
111	1
112	212
113	36
114	483
115	339
116	280
117	317
97	2
98	8
118	275
119	18
120	164
121	772
124	212
125	448
126	472
127	426
128	434
129	980
130	820
131	3
132	7
133	399
134	260
136	1038
137	854
138	327
139	9
140	64
142	84
143	142
144	252
145	52
146	123
148	119
149	75
150	57
153	7
154	4
155	548
156	1
157	126
160	22
161	34
162	7
163	336
164	3
165	1467
166	16
168	119
169	87
170	129
172	2
174	730
175	58
176	128
179	56
180	47
184	92
185	173
186	5
187	16
188	602
190	69
191	675
147	4
158	2
193	74
194	735
195	1
197	480
201	7
207	3
208	22
213	55
214	298
215	257
216	284
218	304
219	405
220	158
222	48
224	6
226	209
227	496
228	562
232	14
234	643
235	336
236	115
237	121
238	518
240	84
241	10
242	249
243	91
244	21
245	5
246	275
196	3
247	176
248	207
249	203
250	522
251	160
252	573
255	37
259	715
260	12
261	130
262	103
264	25
265	90
266	41
270	87
271	84
272	15
275	115
276	135
277	39
278	282
279	70
280	499
282	86
283	3
285	28
286	37
311	32
321	190
322	5
329	28
330	4
10001	2
10003	288
10004	9
10007	6
10008	80
10009	305
10010	24
10011	22
10012	56
10013	32
10014	270
10016	33
10019	21
10020	10
10022	3
10023	15
10024	7
10026	97
267	3
326	10
10027	113
10028	61
10029	13
10031	30
10032	48
10033	31
10034	162
10036	2
10040	91
10041	11
10043	7
10044	462
10045	76
10051	504
10052	11
10056	219
10057	112
10058	121
10059	26
10062	47
10069	9
10074	91
10075	60
10081	78
10083	94
10087	33
10088	5
10089	44
10090	1
10093	42
10094	29
10095	33
10096	14
10100	29
10101	26
10102	96
10103	5
10105	15
10108	63
10109	13
10113	66
10115	10
10116	80
10119	21
10120	170
10121	9
10123	3
10125	27
10127	9
10131	517
10133	39
10138	49
10139	67
10140	799
10141	18
10142	657
10143	55
10144	77
10147	33
10148	12
10149	20
10150	28
10151	12
10154	5
10158	7
10163	112
10167	64
10168	4
10170	131
10177	34
10178	16
10179	29
10183	296
10039	3
10068	2
10078	8
10110	7
10184	241
10185	102
10186	105
10187	46
10188	738
10189	54
10190	25
10193	438
10197	868
10198	156
10199	8
10200	65
10201	30
10205	10
10206	69
10207	117
10209	364
10210	14
10213	5
10216	419
10221	1
10222	44
10223	22
10226	10
10227	14
10230	7
10233	3
10234	3
10235	126
10244	111
10245	37
10247	18
10250	141
10252	1
10253	2
10254	4
10258	163
10260	337
10262	368
10264	143
10266	646
10273	146
10274	297
10275	45
10276	14
10277	428
10278	50
10279	5
10280	560
10283	2
10285	5
10287	13
10290	3
10292	3
10294	150
10296	3
10297	47
10298	43
10300	8
10303	2
10304	425
10307	8
10308	12
10309	49
10310	6
10311	7
10312	7
10315	314
10208	2
10218	4
10257	6
10288	4
10320	45
10323	37
10324	7
10328	44
10329	141
10330	84
10331	104
10332	103
10338	13
10341	4
10342	7
10346	21
10347	4
10348	16
10351	11
10352	13
10353	12
10354	3
10355	8
10356	24
10358	126
10360	75
10364	50
10368	442
10371	112
10372	12
10373	17
10378	310
10381	3
10394	12
10396	373
10397	24
10401	7
10402	28
10403	387
10407	65
10410	33
10412	2
10417	264
10420	26
10424	15
10426	15
10427	8
10429	21
10434	836
10436	56
10437	81
10438	189
10439	42
10441	56
10442	46
10443	190
10444	32
10445	103
10449	28
10450	65
10452	183
10453	17
10454	32
10455	10
10456	8
10457	92
10458	49
10459	14
10460	91
10461	8
10462	14
10463	20
10464	18
10466	31
10467	25
10468	12
10469	13
10472	141
10473	166
10474	3
10475	387
10477	316
10478	114
10480	39
10483	29
10485	7
10489	12
10493	32
10494	98
10495	414
10496	35
10497	23
10498	431
10501	95
10502	441
10399	3
10476	16
10486	11
10487	2
10503	36
10505	19
10506	5
10509	3
10511	78
10513	1
10514	49
10515	29
10517	161
10520	56
10526	452
10527	124
10528	35
10529	577
10530	15
10531	477
10532	407
10533	28
10535	24
10536	19
10537	34
10538	7
10539	7
10540	85
10541	54
10542	88
10543	3
10544	62
10545	6
10547	169
10548	210
10549	214
10550	16
10551	51
10552	6
10553	130
10554	17
10558	8
10559	52
10560	9
10561	27
10563	5
10564	9
10565	3
10567	25
10574	90
10575	40
10576	835
10577	191
10578	35
10579	133
10580	324
10518	5
10582	99
10583	38
10584	96
10585	6
10586	12
10587	6
10588	81
10589	3
10593	29
10594	132
10595	26
10599	230
10600	20
10602	79
10604	3
10607	78
10608	125
10612	470
10613	67
10614	67
10616	67
10617	110
10618	93
10619	2
10620	63
10621	45
10622	4
10623	105
10624	283
10625	20
10626	12
10627	500
10628	30
10630	30
10634	14
10635	270
10639	2
10642	2
10647	290
10648	11
10649	7
10651	126
10653	142
10654	75
10656	66
10657	7
10658	9
10659	114
10664	15
10665	5
10666	81
10667	211
10669	33
10670	78
10673	7
10674	137
10675	19
10676	11
10677	47
10678	9
10679	103
10682	8
10684	51
10685	87
10686	6
10687	2
10688	29
10689	4
10691	8
10692	98
10693	9
10694	185
10695	527
10696	485
10697	65
10698	4
10701	29
10702	89
10703	6
10706	11
10709	34
10711	57
10717	12
10728	75
10730	3
10732	45
10733	190
10734	3
10736	2
10738	58
10739	33
10741	11
10742	30
10743	1
10744	1
10745	8
10747	9
10748	2
10750	12
10751	357
10752	467
10756	49
10759	32
10763	10
10764	29
10765	22
10766	50
10767	14
10768	24
10769	25
10773	113
10777	5
10778	114
10781	694
10782	139
10784	14
10785	20
10790	13
10791	21
10792	31
10794	2
10796	83
10797	28
10803	34
10805	10
10806	45
10808	78
10809	194
10810	7
10811	594
10813	16
10814	61
10818	11
10819	22
10824	14
10825	11
10827	3
10832	10
10834	7
10839	670
10841	146
10842	403
10844	149
10845	40
10849	634
10850	366
10851	20
10856	76
10857	47
10862	21
10868	11
10869	147
10871	18
10872	12
10874	7
10876	14
10878	272
10879	4
10880	490
10881	14
10885	463
10886	9
10887	9
10889	15
10892	108
10900	10
10901	331
10903	154
10904	235
10906	451
10907	560
10908	12
10909	60
10910	3
10911	53
10913	3
10914	10
10918	443
10919	230
10920	1
10925	4
10926	33
10927	107
10928	50
10929	165
10930	182
10636	2
10705	3
10707	4
10799	2
10804	38
10836	3
10853	2
10854	2
10931	9
10938	721
10939	114
10945	51
10946	9
10948	21
10949	3
10950	210
10952	6
10954	7
10955	4
10957	33
10958	43
10959	26
10960	35
10961	71
10962	8
10963	8
